,id,所在地,アクセス,間取り,築年数,方角,面積,所在階,バス・トイレ,キッチン,放送・通信,室内設備,駐車場,周辺環境,建物構造,契約期間,賃料,diff
21737,21738,東京都豊島区上池袋１丁目14-1,山手線	池袋駅	徒歩12分		東武東上線	北池袋駅	徒歩11分		山手線	大塚(東京都)駅	徒歩14分,1R,26年7ヶ月,,18.56m2,3階／3階建,専用バス／	専用トイレ／	シャワー,電気コンロ／	コンロ1口／	給湯,,エアコン付	出窓／	フローリング／	室内洗濯機置場	公営水道／	下水／	都市ガス,駐車場	無	駐輪場	無	バイク置き場	無,【スーパー】 265m	【スーパー】 273m	【コンビニ】 203m	【コンビニ】 301m	【病院】 332m,鉄骨造,2年間,157000,86043.9140625
13785,13786,東京都北区田端１丁目,山手線	田端駅	徒歩6分		京浜東北線	西日暮里駅	徒歩10分		山手線	駒込駅	徒歩13分,1K,8年1ヶ月,,22.54m2,10階／11階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	コンロ2口／	システムキッチン	／	独立キッチン,インターネット対応／	光ファイバー／	CATV／	CSアンテナ／	BSアンテナ,エアコン付	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	2面採光／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター	公営水道／	下水／	都市ガス,駐輪場	空有	駐車場	無	バイク置き場	無,【スーパー】 148m	【スーパー】 428m	【コンビニ】 363m	【コンビニ】 540m	【コンビニ】 654m,RC（鉄筋コンクリート）,,174500,70675.03125
5311,5312,東京都練馬区下石神井６丁目28-2,西武池袋線	石神井公園駅	徒歩13分		西武池袋線	練馬高野台駅	徒歩19分		西武新宿線	上井草駅	徒歩17分,2LDK,7年10ヶ月,南,67.5m2,2階建,専用バス／	専用トイレ／	シャワー／	追焚機能／	温水洗浄便座／	脱衣所,IHコンロ	／	コンロ2口／	システムキッチン	／	給湯,インターネット対応／	CATV,エアコン付	フローリング／	3面採光／	室内洗濯機置場／	敷地内ごみ置き場	公営水道／	下水／	都市ガス,"駐車場	空有	10,000円(税込)	(屋根付)	駐輪場	無	バイク置き場	無",【スーパー】 1040m	【スーパー】 1040m,鉄骨造,2年間,215000,70660.765625
5256,5257,東京都港区麻布十番１丁目３－６,南北線	麻布十番駅	徒歩1分		都営大江戸線	赤羽橋駅	徒歩10分		日比谷線	六本木駅	徒歩14分,1LDK,4年1ヶ月,南,44.7m2,6階／9階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	コンロ3口／	システムキッチン,インターネット対応／	高速インターネット,冷房／	エアコン付	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	2面採光／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,,,RC（鉄筋コンクリート）,,340000,70564.78125
24184,24185,東京都大田区中馬込１丁目,都営浅草線	馬込駅	徒歩5分		都営浅草線	西馬込駅	徒歩11分		東急大井町線	荏原町駅	徒歩11分,1K,18年1ヶ月,南,19.08m2,4階／5階建,専用バス／	専用トイレ／	バス・トイレ別,ガスコンロ／	コンロ2口／	システムキッチン	／	給湯,インターネット対応／	高速インターネット／	光ファイバー／	CATV／	CSアンテナ／	BSアンテナ,冷房／	エアコン付	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,"駐車場	近隣	30,000円	距離400m",【スーパー】 632m	【コンビニ】 201m	【コンビニ】 505m	【コンビニ】 633m	【ドラッグストア】 663m,RC（鉄筋コンクリート）,,154000,70498.53125
30984,30985,東京都新宿区新宿６丁目27-29,都営大江戸線	東新宿駅	徒歩2分		副都心線	東新宿駅	徒歩2分		都営新宿線	新宿三丁目駅	徒歩11分,1LDK,7年7ヶ月,西,71.99m2,5階／32階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	コンロ3口／	システムキッチン	／	給湯／	独立キッチン,インターネット対応／	光ファイバー,エアコン付	シューズボックス／	バルコニー／	フローリング／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,駐輪場	空有	バイク置き場	空有	駐車場	無,【スーパー】 500m	【幼稚園・保育園】 333m	【小学校】 336m	【コンビニ】 196m,RC（鉄筋コンクリート）,2年間	※この物件は	定期借家	です。,410000,62698.90625
23316,23317,東京都世田谷区代田５丁目,京王井の頭線	下北沢駅	徒歩2分		京王井の頭線	新代田駅	徒歩8分		小田急小田原線	世田谷代田駅	徒歩9分,2DK,40年6ヶ月,東,44.4m2,2階／3階建,専用バス／	専用トイレ／	バス・トイレ別,ガスコンロ／	コンロ3口,インターネット対応,エアコン付	公営水道／	下水／	都市ガス,駐車場	無	駐輪場	無	バイク置き場	無,【スーパー】 39m	【スーパー】 39m	【スーパー】 122m	【コンビニ】 60m	【コンビニ】 266m	【コンビニ】 407m,RC（鉄筋コンクリート）,2年間,210000,60362.25
9037,9038,東京都豊島区目白２丁目,山手線	目白駅	徒歩5分		副都心線	雑司が谷駅	徒歩10分		山手線	池袋駅	徒歩10分,1LDK,0年0ヶ月,南,38.27m2,2階／2階建,バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立,コンロ2口／	システムキッチン	／	給湯,インターネット対応,エアコン付	シューズボックス／	バルコニー／	フローリング／	室内洗濯機置場	都市ガス,駐輪場	空有(1台)	0円	駐車場	無,【小学校】 313m	【学校】 273m	【幼稚園・保育園】 297m	【郵便局】 720m	【図書館】 431m	【公園】 1326m	【病院】 733m,木造,2年間,235000,58364.71875
4976,4977,東京都中央区銀座８丁目15-5,都営大江戸線	築地市場駅	徒歩7分		山手線	新橋駅	徒歩5分		日比谷線	東銀座駅	徒歩8分,1LDK,8年4ヶ月,北西,45.25m2,5階／5階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	温水洗浄便座／	洗面台独立／	脱衣所,IHコンロ	／	コンロ2口／	システムキッチン	／	給湯／	独立キッチン,インターネット対応／	光ファイバー,エアコン付	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	室内洗濯機置場／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,"駐車場	近隣	54,000円(税込)	距離300m	駐輪場	無	バイク置き場	無",【コンビニ】 49m	【コンビニ】 155m,鉄骨造,2年間,243000,57271.546875
30701,30702,東京都目黒区三田２丁目18-18,山手線	目黒駅	徒歩10分		山手線	恵比寿駅	徒歩15分		東急目黒線	目黒駅	徒歩11分,3LDK,34年5ヶ月,,99.43m2,2階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	システムキッチン	／	給湯,,エアコン付	シューズボックス／	フローリング／	室内洗濯機置場／	専用庭	公営水道／	下水／	都市ガス,駐車場	空有	(屋根付)	駐輪場	空有	バイク置き場	無,【スーパー】 546m,鉄骨造,,438000,57267.96875
4836,4837,東京都豊島区高田２丁目,副都心線	雑司が谷駅	徒歩7分		山手線	目白駅	徒歩15分		都電荒川線	学習院下駅	徒歩2分,2LDK,20年7ヶ月,西,66m2,3階／10階建（地下1階）,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	洗面台独立,ガスコンロ／	コンロ3口／	システムキッチン	／	給湯,,エアコン付	バルコニー／	フローリング／	室内洗濯機置場	公営水道／	都市ガス,駐車場	無,,RC（鉄筋コンクリート）,2年間,245000,54318.78125
17099,17100,東京都港区浜松町１丁目,都営浅草線	大門(東京都)駅	徒歩5分		都営大江戸線	汐留駅	徒歩6分		山手線	浜松町駅	徒歩5分,2LDK,0年6ヶ月,西,58.01m2,19階／37階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	コンロ3口／	システムキッチン	／	給湯,インターネット対応／	CATV／	CSアンテナ／	BSアンテナ,エアコン付／	床暖房	ウォークインクローゼット	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,"駐車場	空有	54,000円(税込)	駐輪場	空有	バイク置き場	空有",【スーパー】 377m	【スーパー】 491m	【スーパー】 1117m,RC（鉄筋コンクリート）,2年間,395000,53883.9375
11634,11635,東京都世田谷区上馬１丁目,東急田園都市線	三軒茶屋駅	徒歩8分		東急田園都市線	駒沢大学駅	徒歩12分		東急世田谷線	三軒茶屋駅	徒歩8分,2LDK,35年5ヶ月,,70.61m2,2階／4階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	温水洗浄便座／	洗面台独立／	脱衣所,IHコンロ	／	コンロ2口／	システムキッチン	／	カウンターキッチン	／	給湯,インターネット対応／	CATV／	BSアンテナ,エアコン付	フローリング／	3面採光／	室内洗濯機置場／	敷地内ごみ置き場	公営水道／	下水／	都市ガス,"駐車場	近隣	30,000円(税込)	距離100m	駐輪場	無	バイク置き場	無",【コンビニ】 34m	【スーパー】 217m	【コンビニ】 257m	【スーパー】 607m	【スーパー】 606m,RC（鉄筋コンクリート）,2年間,280000,53546.234375
188,189,東京都港区白金台４丁目5-7,南北線	白金台駅	徒歩1分		南北線	白金高輪駅	徒歩13分		都営浅草線	高輪台駅	徒歩14分,1LDK,33年7ヶ月,北東,42.34m2,4階／4階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	コンロ3口／	システムキッチン	／	給湯,インターネット対応／	光ファイバー／	CSアンテナ／	BSアンテナ,エアコン付／	床暖房	トランクルーム	シューズボックス／	バルコニー／	フローリング／	3面採光／	室内洗濯機置場／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,"駐車場	近隣	38,000円(税込)	距離200m	(礼金あり	1ヶ月、敷金あり	1ヶ月)	駐輪場	無	バイク置き場	無",【スーパー】 186m	【スーパー】 492m	【スーパー】 716m	【コンビニ】 415m	【コンビニ】 563m	【コンビニ】 611m,RC（鉄筋コンクリート）,2年間,280000,53390.125
4764,4765,東京都港区南麻布１丁目,南北線	白金高輪駅	徒歩11分		都営大江戸線	麻布十番駅	徒歩12分		日比谷線	広尾駅	徒歩14分,2LDK,9年11ヶ月,北,83.6m2,3階／4階建,バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立,ガスコンロ／	コンロ3口／	システムキッチン	／	給湯,CATV／	CSアンテナ／	BSアンテナ,冷房／	エアコン付／	床暖房	トランクルーム	／	ウォークインクローゼット	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター／	タイル張り	水道その他／	下水／	都市ガス,駐輪場	空有	バイク置き場	無,【小学校】 350m	【学校】 1400m	【スーパー】 550m	【コンビニ】 450m	【公園】 550m	【公園】 650m,RC（鉄筋コンクリート）,2年間,550000,52125.84375
4472,4473,東京都江東区白河２丁目,半蔵門線	清澄白河駅	徒歩4分		都営新宿線	菊川(東京都)駅	徒歩9分		都営大江戸線	森下(東京都)駅	徒歩14分,2LDK,33年6ヶ月,南,49.5m2,2階／8階建（地下1階）,バス・トイレ別／	シャワー／	追焚機能／	洗面台独立／	脱衣所,システムキッチン	／	給湯,CATV／	CSアンテナ／	BSアンテナ,エアコン付	ウォークインクローゼット	シューズボックス／	バルコニー／	室内洗濯機置場／	エレベーター／	専用庭	公営水道／	下水／	都市ガス,,【スーパー】 582m	【スーパー】 549m	【コンビニ】 168m	【コンビニ】 209m	【ドラッグストア】 406m,SRC（鉄骨鉄筋コンクリート）,2年間,228000,51620.015625
4755,4756,東京都江東区永代２丁目,東西線	門前仲町駅	徒歩8分		日比谷線	茅場町駅	徒歩18分		京葉線(東京－蘇我)	八丁堀(東京都)駅	徒歩20分,1LDK+S(納戸),27年5ヶ月,,55.31m2,2階／6階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	洗面台独立,ガスコンロ／	給湯,インターネット対応,エアコン付	シューズボックス／	出窓／	フローリング／	24時間換気システム	／	3面採光／	室外洗濯機置場	公営水道／	下水／	都市ガス,駐車場	無	駐輪場	無	バイク置き場	無,【スーパー】 586m	【スーパー】 909m	【コンビニ】 251m	【コンビニ】 297m	【病院】 1619m,RC（鉄筋コンクリート）,2年間,205000,51412.921875
