iter	RMSE
0	1086.912018
1	1077.45885
2	1066.919165
3	1058.891403
4	1051.062001
5	1043.428471
6	1034.921034
7	1027.413926
8	1016.136744
9	1009.602434
10	1004.130687
11	996.1352062
12	986.9579459
13	978.5877624
14	971.8939382
15	963.9934042
16	956.8559
17	951.4998775
18	946.0055853
19	939.9923429
20	935.443815
21	929.1661923
22	922.2408886
23	915.0033244
24	909.3658426
25	902.8646183
26	897.7006121
27	891.5702654
28	888.6139045
29	884.7926724
30	877.7124526
31	872.0979835
32	869.7262765
33	864.7488824
34	860.7266972
35	857.1956694
36	855.0765118
37	849.3675313
38	844.5245193
39	840.2460175
40	837.5586092
41	832.6053874
42	829.3285396
43	825.0079828
44	821.3717986
45	815.6129039
46	812.1300779
47	810.5591288
48	804.7333923
49	802.2217984
50	798.2883402
51	793.0568934
52	788.0458819
53	784.8408876
54	781.3703385
55	776.4534933
56	771.0456555
57	767.3055101
58	763.6515276
59	758.933833
60	755.5177764
61	751.0542577
62	749.8460647
63	745.5870926
64	742.5294508
65	738.8531296
66	737.6573589
67	735.0903969
68	731.0441231
69	729.0560934
70	725.3909092
71	721.3273596
72	719.5575434
73	714.3932678
74	712.3033674
75	709.3145274
76	707.8770985
77	703.9492947
78	701.3999795
79	698.5064093
80	695.6897758
81	693.6501991
82	691.7736422
83	689.0266208
84	685.0667174
85	683.2727266
86	680.3128195
87	676.7771072
88	673.2817946
89	670.680676
90	668.6732107
91	663.736567
92	659.3734166
93	655.5663343
94	651.2526099
95	649.744005
96	645.2745772
97	642.9654728
98	640.1355968
99	637.4186619
100	632.6259906
101	630.8289745
102	627.8938708
103	624.2853975
104	621.2749195
105	618.3904592
106	615.2589311
107	612.4590628
108	608.6638755
109	603.7232621
110	600.6204985
111	596.9855828
112	594.8241058
113	591.2781569
114	589.6369188
115	585.6348033
116	582.4535278
117	578.8042508
118	577.5623239
119	574.1969996
120	570.7588154
121	567.9307096
122	565.9710157
123	562.1717771
124	559.9915326
125	556.7186512
126	552.8918623
127	549.8792493
128	546.1827878
129	544.5998384
130	541.1206987
131	538.7252145
132	536.931763
133	532.9004659
134	530.4781803
135	528.2072848
136	526.7701046
137	525.1011628
138	522.6460864
139	520.6587154
140	518.0984557
141	514.7773819
142	511.8779722
143	509.8112695
144	506.8422306
145	504.001927
146	500.9838256
147	498.2101841
148	495.9637008
149	492.9893787
150	490.809039
151	488.5632886
152	486.7642087
153	485.0523153
154	482.9458566
155	480.5888594
156	478.3860466
157	476.3448241
158	473.7644571
159	471.7372948
160	469.6926271
161	467.6927521
162	465.2372072
163	463.687343
164	461.4016876
165	459.6419851
166	457.3968287
167	456.0189842
168	454.5651147
169	452.3109687
170	450.7041335
171	448.7846159
172	446.7341078
173	444.5770207
174	442.7662204
175	440.3523434
176	438.0295244
177	436.0989562
178	434.0313112
179	432.1934289
180	429.9900026
181	427.9140599
182	425.9832169
183	423.5756209
184	421.5457253
185	419.6392693
186	418.379696
187	416.2135627
188	414.6983994
189	412.8563774
190	411.0874162
191	409.3939616
192	407.7783847
193	405.7799772
194	404.3033759
195	402.7223179
196	401.3594418
197	399.1819481
198	396.9434879
199	395.3669014
200	393.5692329
201	392.040483
202	390.2489365
203	388.5461005
204	386.4935615
205	384.8328879
206	383.2986482
207	382.1633619
208	380.7482689
209	379.402392
210	378.17597
211	377.0732974
212	375.010381
213	373.1459867
214	371.6203686
215	370.6344716
216	369.2158531
217	367.9232409
218	366.7627639
219	365.5317791
220	363.9493487
221	362.8081778
222	361.3448508
223	359.9463306
224	358.7147713
225	356.9435853
226	354.6987146
227	353.2715596
228	351.865802
229	350.2909659
230	349.0448449
231	347.5461237
232	346.2846076
233	344.956736
234	343.6119283
235	342.2084839
236	341.2240484
237	340.1844666
238	338.8310165
239	338.045096
240	336.4904171
241	335.1385697
242	333.9987897
243	333.0829584
244	331.9872543
245	331.0223194
246	329.7802582
247	328.6801899
248	327.8005923
249	326.7772322
250	325.509975
251	324.1034894
252	323.048484
253	322.1627378
254	321.2008009
255	320.0216158
256	318.6230345
257	317.3248673
258	316.3443075
259	314.8753387
260	313.7480729
261	312.7754045
262	311.6229132
263	310.6493613
264	309.4464067
265	308.5407968
266	307.5298393
267	306.5161285
268	305.4272631
269	304.55624
270	303.7275142
271	302.6583746
272	301.9168546
273	300.6585889
274	299.9462438
275	299.0265576
276	298.0682421
277	296.9478615
278	296.4040451
279	295.8293227
280	294.8610504
281	293.756628
282	292.5306765
283	291.5278602
284	290.1310018
285	288.929442
286	287.8277047
287	286.6329209
288	285.4098271
289	284.407434
290	283.2401771
291	282.4226414
292	281.4873007
293	280.6965702
294	279.6286262
295	278.5207627
296	277.6761376
297	276.8206603
298	275.8824546
299	274.8371481
300	274.0308666
301	273.1817917
302	272.4705251
303	271.4537608
304	270.5370405
305	269.4061343
306	268.7037309
307	267.5725137
308	266.655288
309	265.4344072
310	264.2083526
311	263.2348552
312	262.2300738
313	261.430688
314	260.6672596
315	259.9636005
316	259.4174556
317	258.4562636
318	257.8966994
319	257.2826584
320	256.3195334
321	255.6570136
322	254.8065341
323	253.9083406
324	253.2919054
325	252.3234387
326	251.6577828
327	250.7996613
328	249.9641903
329	249.3222497
330	248.8400085
331	248.0961197
332	247.5178765
333	246.9003117
334	246.0386702
335	245.1713686
336	244.39406
337	243.8591429
338	243.1795729
339	242.7412519
340	241.9374565
341	241.4812541
342	240.7248567
343	240.2841375
344	239.7126427
345	239.0105739
346	238.3373485
347	237.3130737
348	236.7577204
349	236.4606291
350	235.786448
351	235.1348375
352	234.5757117
353	233.6999596
354	233.0923455
355	232.2515813
356	231.4292885
357	230.7360463
358	230.1677059
359	229.5086117
360	229.05723
361	228.4433294
362	228.0314325
363	227.3528628
364	226.7088529
365	226.2255535
366	225.5573614
367	225.0412627
368	224.429396
369	223.7926514
370	223.1038299
371	222.5550602
372	221.8903639
373	221.1696743
374	220.6400079
375	220.3143665
376	219.9155925
377	219.2744228
378	218.8221678
379	218.4168512
380	218.1018184
381	217.7941606
382	217.3201156
383	216.989548
384	216.434427
385	216.0566296
386	215.6958461
387	215.2441663
388	214.6120324
389	213.8839647
390	213.3868161
391	212.9127582
392	212.15364
393	211.5294281
394	210.8981055
395	210.4306216
396	210.011003
397	209.3719932
398	208.9438964
399	208.2439271
400	207.7620325
401	207.4549375
402	206.947614
403	206.3974208
404	205.8247184
405	205.4377856
406	204.7391467
407	204.4187673
408	203.8823713
409	203.2571029
410	202.8469651
411	202.5992329
412	201.9674989
413	201.6165521
414	201.3725078
415	201.00538
416	200.5400995
417	200.1020055
418	199.7106619
419	199.057251
420	198.8194345
421	198.5129946
422	198.3156384
423	197.8866294
424	197.5912471
425	197.3052506
426	196.6872175
427	196.094738
428	195.6064132
429	195.2293631
430	194.8720896
431	194.3425233
432	193.9574177
433	193.6241812
434	193.195688
435	192.839291
436	192.5120481
437	191.8108055
438	191.3848802
439	191.110937
440	190.6661907
441	190.3570443
442	189.8743809
443	189.4682325
444	189.0955284
445	188.6357994
446	188.262377
447	187.9817595
448	187.2963601
449	186.963071
450	186.4123963
451	186.1472762
452	185.8244356
453	185.5488194
454	185.0710196
455	184.6661752
456	184.4153813
457	184.1004675
458	183.6506409
459	183.3280958
460	183.0258333
461	182.8551233
462	182.3998442
463	181.9215679
464	181.6954094
465	181.4120637
466	181.082215
467	180.8363049
468	180.475959
469	180.1729913
470	179.8094011
471	179.4123385
472	179.1442772
473	178.7147784
474	178.2660928
475	177.9990828
476	177.5047832
477	177.2483247
478	177.0368362
479	176.6003605
480	176.3847359
481	176.1558428
482	175.7152416
483	175.4144023
484	175.1187562
485	174.7286537
486	174.4813894
487	174.2622144
488	174.0935852
489	173.893583
490	173.5090425
491	173.0484389
492	172.7128393
493	172.2851901
494	172.0272712
495	171.7380226
496	171.4819819
497	171.3095292
498	171.0175189
499	170.7422438
500	170.3591976
501	169.9488811
502	169.6880899
503	169.4215761
504	169.2107979
505	169.0076244
506	168.6706673
507	168.4886246
508	168.1214862
509	167.7717732
510	167.2679046
511	166.7904837
512	166.5647788
513	166.3736357
514	166.0402831
515	165.7497783
516	165.3775075
517	165.1015194
518	164.8644011
519	164.676779
520	164.2756333
521	163.9139491
522	163.6895003
523	163.3530596
524	163.1148388
525	162.8053053
526	162.5357019
527	162.3282533
528	161.9476446
529	161.7150612
530	161.1951675
531	160.8654824
532	160.4722619
533	160.2560305
534	159.9841961
535	159.5896385
536	159.394338
537	159.0366042
538	158.8007675
539	158.3228703
540	158.1746148
541	157.8874177
542	157.570048
543	157.2962066
544	156.8454476
545	156.5706334
546	156.2198356
547	155.823745
548	155.4120318
549	155.2718838
550	155.1024163
551	154.6914021
552	154.5320856
553	154.364602
554	154.1188463
555	153.8132411
556	153.55075
557	153.3518897
558	153.074568
559	152.7802869
560	152.3818199
561	152.2501513
562	152.0245484
563	151.8678209
564	151.6749037
565	151.478149
566	151.119245
567	150.8078198
568	150.6632699
569	150.5085053
570	150.3721467
571	150.0748568
572	149.9110233
573	149.7553168
574	149.4735645
575	149.321261
576	149.0931083
577	148.8576295
578	148.7282406
579	148.2643757
580	148.0939572
581	147.9382928
582	147.7509946
583	147.5748955
584	147.2838222
585	147.1048101
586	146.7629543
587	146.5006088
588	146.3047416
589	146.2034777
590	145.9051566
591	145.7329489
592	145.4806945
593	145.2432981
594	145.0506775
595	144.8478802
596	144.7089847
597	144.5702479
598	144.3732845
599	144.2101704
600	144.0484502
601	143.9185572
602	143.7906548
603	143.6385172
604	143.5208585
605	143.2433358
606	143.126522
607	142.890087
608	142.555208
609	142.2760394
610	141.9839276
611	141.7893996
612	141.6807324
613	141.5132389
614	141.1848554
615	140.8634117
616	140.6328316
617	140.4412096
618	140.3211278
619	140.0888437
620	139.8553821
621	139.7163005
622	139.4468026
623	139.2409503
624	138.9669655
625	138.7403673
626	138.6079572
627	138.4474225
628	138.2971412
629	138.0440633
630	137.8203324
631	137.6140048
632	137.4998267
633	137.2448047
634	137.1335346
635	136.8687556
636	136.5804805
637	136.4505353
638	136.2103462
639	135.9161484
640	135.5353003
641	135.3383242
642	135.1208669
643	134.9457919
644	134.7407369
645	134.6053919
646	134.4373512
647	134.3503637
648	134.1374654
649	133.8261185
650	133.5282128
651	133.4658208
652	133.3208985
653	132.9927989
654	132.9283767
655	132.6832655
656	132.6188224
657	132.3101786
658	132.1037203
659	131.8957281
660	131.7069188
661	131.4955161
662	131.2686387
663	131.1669859
664	131.0246213
665	130.8713319
666	130.7733006
667	130.606915
668	130.4527204
669	130.3392208
670	130.2494833
671	130.072877
672	129.9911109
673	129.7964911
674	129.7027955
675	129.6106213
676	129.306438
677	129.0599552
678	128.7227403
679	128.5163103
680	128.2928414
681	128.1023347
682	127.9458769
683	127.597912
684	127.1755106
685	126.8694668
686	126.7321198
687	126.5745875
688	126.4945367
689	126.3871574
690	126.2419928
691	125.9730819
692	125.7640054
693	125.5892618
694	125.4186121
695	125.2585099
696	125.1256532
697	124.9210784
698	124.8385116
699	124.750113
700	124.5257526
701	124.3170559
702	124.1466416
703	124.0502301
704	123.9049195
705	123.8578751
706	123.6617363
707	123.5445379
708	123.4928425
709	123.3993821
710	123.279814
711	123.0177422
712	122.9174433
713	122.7835483
714	122.678335
715	122.4579217
716	122.3893832
717	122.2336242
718	122.0302922
719	121.8874228
720	121.8260939
721	121.6221764
722	121.5342296
723	121.427683
724	121.1508346
725	121.0795713
726	120.8745494
727	120.7600521
728	120.5937705
729	120.4958723
730	120.4039798
731	120.2834259
732	120.1487821
733	120.0508967
734	119.9003286
735	119.764841
736	119.6867061
737	119.565965
738	119.4332814
739	119.2375597
740	119.0229576
741	118.9727691
742	118.8102289
743	118.6796652
744	118.57484
745	118.4621767
746	118.3281315
747	118.1930348
748	118.0542622
749	117.8796271
750	117.7109198
751	117.6136217
752	117.5233879
753	117.4068158
754	117.3579805
755	117.1627818
756	117.035097
757	116.9952212
758	116.823744
759	116.6512566
760	116.5014721
761	116.3089245
762	116.1980314
763	116.0830924
764	115.8339759
765	115.7314546
766	115.6245645
767	115.4057271
768	115.2518233
769	115.0363655
770	114.8355653
771	114.7089588
772	114.4737039
773	114.3087348
774	114.2569901
775	114.170923
776	113.9013593
777	113.7741958
778	113.6760737
779	113.5876327
780	113.4741801
781	113.364311
782	113.2778465
783	113.2256963
784	112.98377
785	112.8243319
786	112.7022808
787	112.5894724
788	112.4399304
789	112.212863
790	112.1223529
791	112.0059834
792	111.8576819
793	111.7403676
794	111.5851784
795	111.3987636
796	111.3108646
797	111.1471571
798	111.0253094
799	110.9148219
800	110.7285671
801	110.6333331
802	110.562665
803	110.4689492
804	110.2320877
805	110.1518833
806	110.0320514
807	109.875603
808	109.7824025
809	109.6500735
810	109.5019495
811	109.2628798
812	109.0546848
813	108.8500111
814	108.717034
815	108.5660275
816	108.456661
817	108.3996719
818	108.2893109
819	108.1924951
820	108.0345744
821	107.8497064
822	107.6138148
823	107.4714711
824	107.3782305
825	107.2700972
826	107.0831715
827	106.9276546
828	106.8626622
829	106.7013993
830	106.512682
831	106.3001467
832	106.1700298
833	106.0966352
834	105.9887295
835	105.9453303
836	105.8677968
837	105.7639034
838	105.7092189
839	105.604944
840	105.5396187
841	105.3206048
842	105.2127315
843	105.154896
844	104.9898971
845	104.8899184
846	104.7496001
847	104.659501
848	104.554378
849	104.4474767
850	104.325863
851	104.0732879
852	103.9882673
853	103.9249316
854	103.7882904
855	103.5474828
856	103.3086508
857	103.1400507
858	103.0057503
859	102.9101571
860	102.7219067
861	102.5995803
862	102.5197506
863	102.3638859
864	102.2695383
865	102.144487
866	102.061433
867	101.8905156
868	101.7729975
869	101.6799294
870	101.5630709
871	101.5200144
