iter	Passed	Remaining
0	444	443832
1	538	268890
2	638	212160
3	734	182910
4	835	166166
5	974	161407
6	1094	155258
7	1227	152217
8	1358	149619
9	1521	150647
10	1806	162446
11	2126	175060
12	2257	171426
13	2463	173512
14	2604	171045
15	2729	167851
16	2877	166386
17	3016	164561
18	3149	162611
19	3318	162615
20	3443	160536
21	3591	159636
22	3780	160580
23	3920	159431
24	4019	156755
25	4125	154541
26	4234	152608
27	4344	150816
28	4447	148898
29	4539	146787
30	4627	144651
31	4715	142645
32	4831	141589
33	4932	140134
34	5021	138450
35	5132	137423
36	5250	136666
37	5362	135768
38	5476	134954
39	5586	134065
40	5677	132807
41	5778	131808
42	5868	130616
43	5960	129496
44	6047	128339
45	6133	127210
46	6234	126418
47	6323	125413
48	6407	124351
49	6516	123812
50	6610	123005
51	6696	122088
52	6798	121478
53	6906	120998
54	7007	120405
55	7098	119666
56	7199	119101
57	7303	118623
58	7400	118031
59	7494	117406
60	7581	116712
61	7674	116109
62	7768	115535
63	7862	114991
64	7951	114381
65	8037	113737
66	8120	113087
67	8208	112502
68	8293	111899
69	8410	111735
70	8508	111324
71	9189	118438
72	9782	124228
73	10015	125329
74	10256	126499
75	10370	126080
76	10490	125752
77	10605	125364
78	10725	125040
79	10867	124973
80	10986	124651
81	11115	124441
82	11494	126988
83	11643	126974
84	11776	126774
85	11894	126408
86	12003	125966
87	12121	125624
88	12234	125230
89	12345	124827
90	12467	124535
91	12574	124108
92	12690	123766
93	12823	123592
94	12953	123397
95	13063	123019
96	13179	122695
97	13339	122781
98	13487	122746
99	13618	122566
100	13940	124084
101	14082	123982
102	14177	123470
103	14286	123080
104	14379	122566
105	14467	122020
106	14588	121752
107	14721	121586
108	14822	121163
109	14926	120766
110	15044	120492
111	15193	120459
112	15330	120340
113	15611	121332
114	15754	121241
115	15946	121522
116	16198	122251
117	16401	122594
118	16604	122927
119	16770	122986
120	16974	123313
121	17131	123290
122	17270	123141
123	17439	123199
124	17626	123385
125	17778	123323
126	17887	122956
127	17992	122573
128	18109	122275
129	18222	121952
130	18359	121788
131	18493	121608
132	18623	121402
133	18732	121063
134	18857	120826
135	18983	120599
136	19100	120320
137	19207	119975
138	19324	119703
139	19441	119427
140	19560	119166
141	19669	118845
142	19805	118693
143	19930	118473
144	20072	118361
145	20199	118156
146	20304	117822
147	20420	117555
148	20533	117273
149	20643	116981
150	20764	116746
151	20871	116440
152	20996	116233
153	21112	115980
154	21222	115695
155	21335	115432
156	21449	115173
157	21596	115090
158	21766	115130
159	22017	115592
160	22211	115745
161	22507	116429
162	22635	116232
163	22756	116000
164	22948	116133
165	23101	116061
166	23272	116084
167	23451	116140
168	23593	116014
169	23798	116190
170	23945	116085
171	24079	115918
172	24190	115639
173	24304	115378
174	24491	115461
175	24600	115176
176	24706	114877
177	24819	114617
178	24937	114376
179	25045	114094
180	25166	113875
181	25290	113669
182	25401	113404
183	25509	113130
184	25650	113001
185	25759	112733
186	25892	112569
187	26001	112302
188	26099	111991
189	26203	111709
190	26347	111597
191	26449	111306
192	26602	111233
193	26708	110966
194	26799	110635
195	26890	110305
196	26993	110027
197	27099	109767
198	27199	109479
199	27294	109177
200	27391	108884
201	27489	108596
202	27595	108343
203	27706	108111
204	27809	107845
205	27908	107570
206	28004	107283
207	28108	107027
208	28207	106756
209	28302	106469
210	28398	106190
211	28496	105920
212	28603	105685
213	28694	105392
214	28792	105127
215	28889	104857
216	28991	104609
217	29087	104340
218	29171	104031
219	29265	103760
220	29366	103512
221	29466	103266
222	29594	103115
223	29700	102890
224	29797	102636
225	29895	102384
226	29991	102128
227	30097	101908
228	30199	101675
229	30295	101422
230	30412	101241
231	30544	101113
232	30716	101113
233	30838	100950
234	30933	100699
235	31117	100735
236	31236	100562
237	31513	100895
238	31832	101358
239	31960	101208
240	32093	101073
241	32223	100930
242	32413	100975
243	32784	101576
244	33022	101763
245	33170	101667
246	33351	101673
247	33524	101656
248	33694	101624
249	33856	101569
250	34017	101509
251	34160	101396
252	34322	101338
253	34488	101291
254	34640	101205
255	34762	101029
256	34860	100784
257	34961	100547
258	35076	100355
259	35178	100123
260	35280	99893
261	35373	99639
262	35461	99374
263	35564	99150
264	35675	98949
265	35781	98734
266	35873	98484
267	35979	98271
268	36086	98063
269	36182	97827
270	36275	97581
271	36365	97331
272	36458	97090
273	36559	96870
274	36649	96621
275	36740	96376
