経度,緯度,所在地コード,用途,連番,年次,前年所在地コード,前年用途,前年連番,市区町村名,住居表示,行政,地積,利用の現況,利用状況表示,建物構造,施設,形状区分,間口（比率）,奥行（比率）,階層（地上）,階層（地下）,前面道路区分,前面道路の方位区分,前面道路の幅員,前面道路の舗装状況,側道区分,側道方位区分,周辺の土地の利用の現況,駅名,駅距離,用途区分,防火区分,都市計画区分,森林区分,公園区分,建蔽率,容積率,共通地点区分,選定年次ビット,Ｓ５８価格,Ｓ５９価格,Ｓ６０価格,Ｓ６１価格,Ｓ６２価格,Ｓ６３価格,Ｈ１価格,Ｈ２価格,Ｈ３価格,Ｈ４価格,Ｈ５価格,Ｈ６価格,Ｈ７価格,Ｈ８価格,Ｈ９価格,Ｈ１０価格,Ｈ１１価格,Ｈ１２価格,Ｈ１３価格,Ｈ１４価格,Ｈ１５価格,Ｈ１６価格,Ｈ１７価格,Ｈ１８価格,Ｈ１９価格,Ｈ２０価格,Ｈ２１価格,Ｈ２２価格,Ｈ２３価格,Ｈ２４価格,Ｈ２５価格,Ｈ２６価格,Ｈ２７価格,Ｈ２８価格,Ｈ２９価格,Ｈ３０価格,属性移動Ｓ５９,属性移動Ｓ６０,属性移動Ｓ６１,属性移動Ｓ６２,属性移動Ｓ６３,属性移動Ｈ１,属性移動Ｈ２,属性移動Ｈ３,属性移動Ｈ４,属性移動Ｈ５,属性移動Ｈ６,属性移動Ｈ７,属性移動Ｈ８,属性移動Ｈ９,属性移動Ｈ１０,属性移動Ｈ１１,属性移動Ｈ１２,属性移動Ｈ１３,属性移動Ｈ１４,属性移動Ｈ１５,属性移動Ｈ１６,属性移動Ｈ１７,属性移動Ｈ１８,属性移動Ｈ１９,属性移動Ｈ２０,属性移動Ｈ２１,属性移動Ｈ２２,属性移動Ｈ２３,属性移動Ｈ２４,属性移動Ｈ２５,属性移動Ｈ２６,属性移動Ｈ２７,属性移動Ｈ２８,属性移動Ｈ２９,属性移動Ｈ３０
500416.011,128857.289,13900,020,001,2018,13900,020,001,東京（林）,東京都　西多摩郡奥多摩町川野字大ざす５４０番１,13900,15842,00000000000000010,_,_,000,_,000,000,00,0,市区町村道,_,0040,_,_,_,標高６５０ｍ、約３５度の北向き傾斜で、杉、檜、から松人工造林地域,奥多摩,14000,_,_,都計外,地森計,国立公,0,0,false,111111111111111111111111111111111111,230000,235000,240000,255000,277000,277000,277000,277000,277000,250000,240000,230000,220000,210000,210000,199000,188000,179000,171000,163000,154000,142000,131000,127000,124000,122000,110000,105000,101000,98000,95000,94000,94000,94000,94000,92000,11000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10100000000000,10000000010100,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000,10000000000000,10000000000000,10000000000000
500742.503,128903.321,13308,005,002,2018,13308,005,002,奥多摩,東京都　西多摩郡奥多摩町氷川字南氷川１４１７番１,13308,216,11000000000000000,_,RC2,101,_,010,012,02,0,国道,南東,0123,_,_,_,街道沿いの小売店舗等が多い路線商業地域,奥多摩,400,_,_,都計外,_,_,0,0,false,011111111111111111111111111111111111,0,62600,63900,65200,81000,105000,108000,108000,108000,105000,101000,99000,97000,94000,92000,90000,83000,77000,72500,68800,62600,56900,54600,53900,53000,52400,50500,46500,43300,40500,39000,37700,37000,36500,36100,35700,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000,10000000000000,10000000000000,10000000000000,10000000010000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000100000000,10000000000000,10000000000000,10000000000000
500760.896,128899.019,13308,000,001,2018,13308,000,001,奥多摩,東京都　西多摩郡奥多摩町氷川字長畑７３０番４外,13308,119,10000000000000000,_,W2,101,台形,010,015,02,0,都道府県道,北東,0080,_,側道,南,中規模住宅の他、店舗等も散見される住宅地域,奥多摩,550,_,_,都計外,_,_,0,0,false,000000000000000000000000000000000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,28700,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000
500849.659,128511.266,13900,020,004,2018,13900,020,004,東京（林）,東京都　西多摩郡檜原村字南郷５９８７番,13900,34710,00000000000000010,_,_,000,_,000,000,00,0,道路,_,0036,_,_,_,標高４５０ｍ、約３０度の東向き傾斜の地域で、杉の人工造林地域,武蔵五日市,15000,_,_,都計外,地森計,_,0,0,false,000111111111111111111111111111111111,0,0,0,340000,380000,420000,420000,420000,420000,400000,390000,380000,360000,342000,332000,306000,284000,264000,232000,208000,185000,168000,154000,149000,146000,145000,131000,125000,120000,116000,112000,110000,109000,109000,109000,107000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,20000000000000,10000000000000,10000000000000,10000000010000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
500857.905,128941.739,13308,000,002,2018,13308,000,002,奥多摩,東京都　西多摩郡奥多摩町棚澤字中夏地４４９番３外,13308,201,10000000000000000,_,W2,101,台形,020,010,02,0,市区町村道,北,0030,_,側道,東,中規模住宅のほか畑も残る住宅地域,鳩ノ巣,400,_,_,都計外,_,_,0,0,false,000000000000000000000011111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37300,36800,36500,36100,34800,32100,30300,28600,27600,26600,25800,25100,24700,24400,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000010000,10000000000000,10000000000000,10000000000000,11000100000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
500859.713,128678.294,13307,000,002,2018,13307,000,002,檜原,東京都　西多摩郡檜原村字三都郷３２９７番１,13307,248,10000000000000000,_,W2,101,_,010,010,02,0,市区町村道,東,0055,_,_,_,一般住宅、農家住宅等が見られる住宅地域,武蔵五日市,12000,_,_,都計外,_,_,0,0,false,111111111111111111111111111111111111,23000,23400,23700,24000,27500,51000,50000,50000,50000,49000,47500,46700,46600,46500,46400,45500,41000,39000,37100,34500,31800,29000,27800,27000,26500,26000,25000,23100,21600,20400,19600,19000,18600,18200,18000,17800,10000000000000,10000000000000,10000010000000,11000000000000,10000000000000,10000000000000,10001000000000,11000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,11000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000,10000000000000,10000000000000,10000100000000,10000000010000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
500891.427,123149.156,13364,005,001,2018,13364,005,001,神津島,東京都　神津島村１１２番,13364,185,00100000000000000,_,RC2,101,_,010,015,02,0,都道府県道,南,0065,_,_,_,店舗、事務所、旅館等が建ち並ぶ商業地域,神津島港,420,_,_,非線引,_,_,70,200,false,000000000011111111111111111111111111,0,0,0,0,0,0,0,0,0,0,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000100000000,10000000000011,10000000000000,10000000000000,10000010000000,10000010000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
500894.686,123134.478,13364,000,001,2018,13364,000,001,神津島,東京都　神津島村１１７９番,13364,223,10000000000000000,_,RC2,101,_,010,025,02,0,市区町村道,北西,0032,_,側道,南西,一般住宅のほかに民宿、店舗も混在する住宅地域,神津島港,840,_,_,非線引,_,_,70,200,false,000000000011111111111111111111111111,0,0,0,0,0,0,0,0,0,0,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10001000000000,10000000000000,10000000000000,10001000000000,10000000000000,10000000000000,10000000000000,10000100000000,10000000000011,10000000000000,10100000000000,10000010000000,10000010000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
500902.395,123155.266,13364,000,002,2018,13364,000,002,神津島,東京都　神津島村２１８番,13364,181,10000000000000000,_,RC2,101,台形,015,010,02,0,都道府県道,南東,0049,_,_,_,一般住宅のほか、民宿、旅館も見られる住宅地域,神津島港,810,_,_,非線引,_,_,70,200,false,000000000011111111111111111111111111,0,0,0,0,0,0,0,0,0,0,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10001000000000,10000000000000,10000000000000,10001000000000,10000000000000,10000000000000,10000000000000,10000100000000,10000000000011,10000000000000,10000000000000,10000010000000,10000010000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
500921.061,128538.407,13307,000,001,2018,13307,000,001,檜原,東京都　西多摩郡檜原村字南郷８３６番１,13307,146,10000000000000000,_,W2,101,_,020,010,02,0,都道府県道,南,0080,_,側道,西,農家住宅等が見られる都道沿いの住宅地域,武蔵五日市,13000,_,_,都計外,_,_,0,0,false,111111111111111111111111111111111111,25500,25900,26200,26500,30500,54000,52000,52000,52000,51000,49500,48700,48600,48500,48400,47500,42500,40500,38500,35800,33000,30100,28900,28000,27500,27000,26000,24000,22700,21500,20600,20000,19500,19100,18900,18700,10000000000000,10000000000000,10000010000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000010000,10000000000000,10000000000000,10000100000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
