iter	RMSE
0	71186.66663
1	69433.25077
2	67645.85964
3	65995.27147
4	64334.52872
5	62771.23879
6	61254.84738
7	59772.15386
8	58314.09961
9	56877.46339
10	55495.24722
11	54166.42492
12	52933.76908
13	51718.79665
14	50502.16386
15	49329.30679
16	48185.71859
17	47132.24928
18	46128.10183
19	45096.34396
20	44123.17585
21	43219.13241
22	42277.59006
23	41372.41269
24	40470.05835
25	39594.76642
26	38770.64252
27	37963.31394
28	37227.32696
29	36477.94941
30	35803.74156
31	35137.19655
32	34457.49859
33	33809.78621
34	33185.25808
35	32583.99697
36	32008.52659
37	31486.08105
38	30949.09624
39	30433.27568
40	29992.60729
41	29511.09915
42	29055.66163
43	28613.88085
44	28181.67974
45	27764.9902
46	27364.59575
47	26984.04718
48	26673.21027
49	26329.78195
50	26036.53342
51	25756.32071
52	25441.90706
53	25177.78339
54	24884.67068
55	24607.80965
56	24343.78056
57	24087.02346
58	23844.12793
59	23613.34413
60	23385.84422
61	23180.15269
62	22977.33885
63	22783.56862
64	22615.13993
65	22440.05512
66	22274.79849
67	22115.41772
68	21946.16944
69	21780.84754
70	21627.4093
71	21468.33576
72	21338.36066
73	21212.41346
74	21098.02442
75	20951.88226
76	20809.17628
77	20707.9429
78	20581.59467
79	20496.14197
80	20394.09784
81	20285.71572
82	20207.857
83	20109.0545
84	20041.00891
85	19957.48883
86	19864.97458
87	19788.40781
88	19732.9772
89	19662.01175
90	19611.4297
91	19544.64985
92	19492.7762
93	19449.02179
94	19386.19547
95	19329.35634
96	19276.47056
97	19214.21986
98	19179.60772
99	19119.04253
100	19056.18407
101	19029.38407
102	18976.27628
103	18936.93794
104	18911.11982
105	18856.12
106	18833.01209
107	18808.48137
108	18791.39221
109	18748.87518
110	18719.31205
111	18672.89673
112	18646.81199
113	18632.54046
114	18604.91213
115	18588.49772
116	18560.34422
117	18534.70911
118	18511.214
119	18478.12385
120	18465.43093
121	18443.38844
122	18414.80676
123	18381.94816
124	18371.03164
125	18362.39124
126	18330.66972
127	18322.84709
128	18314.07698
129	18293.83839
130	18284.93646
131	18264.14913
132	18243.25759
133	18231.11245
134	18198.70551
135	18194.12771
136	18164.06991
137	18143.04262
138	18138.42445
139	18133.64676
140	18107.02246
141	18097.84368
142	18093.54752
143	18089.24673
144	18063.90474
145	18061.52723
146	18044.41953
147	18039.89826
148	18034.15267
149	18015.76015
150	18012.97292
151	18008.4246
152	18004.51742
153	17987.69671
154	17976.57941
155	17974.03557
156	17964.07428
157	17948.69859
158	17925.07064
159	17922.7778
160	17918.78431
161	17914.15435
162	17906.53003
163	17898.18769
164	17882.04936
165	17878.72881
166	17872.34609
167	17850.53364
168	17829.83496
169	17826.71956
170	17814.42122
171	17803.15794
172	17778.17671
173	17776.47351
174	17768.92047
175	17753.74299
176	17730.36754
177	17727.64747
178	17722.63736
179	17716.54459
180	17700.05464
181	17698.81808
182	17696.62865
183	17690.18537
184	17675.59917
185	17672.61823
186	17669.36464
187	17666.43167
188	17664.17118
189	17644.87108
190	17643.23512
191	17635.34135
192	17615.04551
193	17608.36789
194	17595.88192
195	17593.25159
196	17590.08578
197	17588.16086
198	17585.96767
199	17584.50254
200	17575.90723
201	17574.49617
202	17559.07909
203	17545.6864
204	17532.92017
205	17528.72905
206	17519.82363
207	17508.68188
208	17476.462
209	17448.23621
210	17447.69242
211	17444.05492
212	17430.36554
213	17428.47133
214	17414.85274
215	17399.02684
216	17389.64984
217	17378.13587
218	17371.56796
219	17370.84394
220	17370.15043
221	17369.02515
222	17358.779
223	17354.61714
224	17328.22116
225	17320.62221
226	17319.84242
227	17318.31759
228	17313.37137
229	17310.928
230	17308.54993
231	17301.80816
232	17299.43598
233	17278.44732
234	17273.76871
235	17250.27116
236	17248.36148
237	17244.6895
238	17243.05547
239	17225.88968
240	17222.79015
241	17221.47086
242	17220.60295
243	17219.95672
244	17217.56527
245	17212.65541
246	17209.30764
247	17206.68694
248	17203.3018
249	17200.1437
250	17190.37834
251	17189.87361
252	17187.75715
253	17177.76721
254	17172.64548
255	17169.05209
256	17149.88351
257	17149.05198
258	17147.8055
259	17135.92079
260	17133.25073
261	17132.02164
262	17129.50658
263	17119.35194
264	17118.14206
265	17111.61595
266	17111.15396
267	17106.82193
268	17096.68547
269	17094.60148
