iter	Passed	Remaining
0	15	15006
1	24	12466
2	34	11580
3	43	10846
4	51	10331
5	60	9987
6	68	9735
7	76	9544
8	85	9393
9	93	9279
10	102	9238
11	111	9205
12	132	10031
13	143	10100
14	153	10081
15	162	10012
16	171	9900
17	181	9921
18	190	9826
19	199	9797
20	208	9710
21	221	9846
22	230	9786
23	238	9708
24	246	9630
25	255	9561
26	263	9493
27	271	9437
28	280	9400
29	289	9358
30	297	9312
31	306	9260
32	314	9212
33	322	9171
34	331	9134
35	339	9093
36	347	9054
37	356	9022
38	364	8986
39	373	8952
40	381	8921
41	389	8889
42	398	8865
43	406	8833
44	414	8805
45	423	8773
46	431	8753
47	439	8725
48	450	8752
49	466	8864
50	476	8875
51	485	8853
52	493	8826
53	502	8799
54	510	8771
55	518	8746
56	527	8720
57	536	8706
58	544	8685
59	552	8661
60	561	8639
61	569	8613
62	577	8594
63	586	8571
64	594	8549
65	602	8528
66	610	8507
67	618	8483
68	627	8461
69	635	8440
70	644	8427
71	652	8407
72	660	8385
73	668	8369
74	677	8350
75	685	8332
76	693	8314
77	701	8297
78	710	8279
79	718	8263
80	726	8244
81	739	8282
82	748	8264
83	756	8252
84	765	8235
85	773	8218
86	782	8214
87	791	8198
88	799	8182
89	807	8166
90	815	8150
91	823	8131
92	832	8117
93	841	8114
94	850	8098
95	859	8093
96	867	8077
97	875	8062
98	884	8047
99	892	8031
100	900	8016
101	908	8001
102	917	7988
103	925	7973
104	934	7961
105	944	7966
106	954	7965
107	962	7952
108	971	7940
109	979	7928
110	993	7957
111	1003	7956
112	1011	7939
113	1019	7926
114	1028	7912
115	1036	7899
116	1044	7884
117	1052	7870
118	1061	7858
119	1069	7845
120	1078	7831
121	1086	7820
122	1094	7806
123	1103	7793
124	1113	7792
125	1121	7781
126	1129	7767
127	1139	7762
128	1147	7749
129	1155	7734
130	1164	7722
131	1172	7707
132	1180	7694
133	1189	7689
134	1199	7686
135	1212	7701
136	1220	7687
137	1228	7673
138	1236	7659
139	1245	7650
140	1253	7636
141	1261	7623
142	1267	7595
143	1275	7582
144	1283	7569
145	1292	7558
146	1300	7545
147	1308	7533
148	1317	7522
149	1325	7508
150	1333	7498
151	1341	7486
152	1350	7476
153	1358	7463
154	1366	7452
155	1375	7441
156	1383	7429
157	1391	7417
158	1399	7404
159	1408	7392
160	1416	7380
161	1424	7367
162	1435	7371
163	1443	7359
164	1452	7352
165	1461	7341
166	1469	7329
167	1478	7320
168	1486	7309
169	1494	7298
170	1508	7311
171	1518	7309
172	1526	7298
173	1534	7285
174	1543	7275
175	1557	7293
176	1566	7282
177	1574	7272
178	1583	7260
179	1591	7249
180	1599	7235
181	1607	7224
182	1615	7212
183	1623	7200
184	1631	7188
185	1639	7177
186	1648	7166
187	1656	7154
188	1664	7142
189	1672	7131
190	1681	7121
191	1689	7111
192	1698	7100
193	1706	7087
194	1713	7075
195	1722	7064
196	1730	7052
197	1738	7041
198	1746	7031
199	1755	7020
200	1771	7040
201	1779	7029
202	1787	7018
203	1805	7046
204	1813	7034
205	1822	7023
206	1830	7012
207	1842	7014
208	1852	7012
209	1861	7001
210	1870	6993
211	1878	6982
212	1886	6970
213	1894	6958
214	1902	6946
215	1910	6934
216	1919	6925
217	1929	6921
218	1938	6912
219	1947	6906
220	1956	6896
221	1965	6886
222	1973	6875
223	1981	6864
224	1989	6853
225	1998	6842
226	2006	6832
227	2014	6822
228	2023	6812
229	2036	6818
230	2046	6811
231	2054	6801
232	2062	6790
233	2070	6779
234	2079	6768
235	2088	6759
236	2096	6749
237	2104	6738
238	2112	6727
239	2121	6716
240	2129	6707
241	2138	6696
242	2146	6686
243	2154	6675
244	2162	6665
245	2171	6656
246	2180	6646
247	2188	6636
248	2197	6626
249	2205	6615
250	2213	6605
251	2221	6595
252	2230	6584
253	2238	6573
254	2246	6562
255	2254	6552
256	2262	6542
257	2270	6531
258	2279	6520
259	2287	6509
260	2295	6500
261	2303	6489
262	2312	6479
263	2320	6468
264	2328	6458
265	2336	6447
266	2344	6437
267	2353	6427
268	2361	6416
269	2369	6405
270	2382	6409
271	2391	6400
272	2399	6390
273	2408	6381
274	2419	6378
275	2428	6370
276	2438	6363
277	2446	6353
278	2454	6343
279	2462	6333
280	2470	6322
281	2479	6312
282	2489	6306
283	2497	6296
284	2505	6286
285	2513	6276
286	2522	6265
287	2530	6255
288	2538	6244
289	2546	6235
290	2559	6235
291	2568	6228
292	2577	6218
293	2591	6222
294	2599	6212
295	2607	6202
296	2616	6193
297	2625	6184
298	2633	6174
299	2642	6164
300	2650	6155
301	2658	6145
302	2666	6134
303	2675	6125
304	2683	6115
305	2692	6105
306	2700	6095
307	2708	6085
308	2716	6075
309	2725	6065
310	2733	6055
311	2741	6045
312	2750	6036
313	2760	6030
314	2768	6020
315	2776	6010
316	2784	6000
317	2793	5990
318	2801	5981
319	2810	5972
320	2818	5962
321	2826	5952
322	2835	5942
323	2843	5932
324	2851	5922
325	2860	5913
326	2868	5903
327	2877	5894
328	2885	5884
329	2893	5875
330	2901	5865
331	2912	5861
332	2921	5851
333	2931	5845
334	2939	5835
335	2948	5826
336	2956	5817
337	2965	5807
338	2973	5797
339	2982	5790
340	2990	5779
341	2999	5770
342	3007	5761
343	3016	5751
344	3024	5742
345	3032	5732
346	3041	5722
347	3049	5713
348	3058	5704
349	3066	5694
350	3081	5696
351	3090	5689
352	3099	5681
353	3108	5671
354	3116	5663
355	3125	5653
356	3133	5643
357	3141	5634
358	3150	5624
359	3158	5615
360	3167	5606
361	3175	5596
362	3183	5587
363	3192	5577
364	3200	5567
365	3208	5558
366	3216	5548
367	3225	5538
368	3233	5529
369	3241	5519
370	3249	5509
371	3258	5500
372	3266	5490
373	3274	5481
374	3282	5471
375	3291	5461
376	3299	5452
377	3307	5442
378	3315	5433
379	3324	5423
380	3332	5413
381	3340	5404
382	3348	5394
383	3357	5385
384	3365	5376
385	3373	5366
386	3382	5357
387	3390	5347
388	3398	5338
