,district,ido,keido
0,北区,35.748593,139.728979
1,中央区,35.6629,139.779212
2,渋谷区,35.675148,139.667012
3,杉並区,35.7002,139.65133500000002
4,葛飾区,35.766807,139.875451
5,荒川区,35.73361699999999,139.79566100000002
6,練馬区,35.753944,139.58930800000002
7,目黒区,35.62571900000001,139.687414
8,文京区,35.719487,139.755599
9,板橋区,35.75075,139.718986
10,大田区,35.59054099999999,139.705525
11,江戸川区,35.737145,139.894675
12,港区,35.660852,139.716026
13,杉並区,35.70218,139.63283
14,墨田区,35.694486,139.807187
15,渋谷区,35.66638837798594,139.6941170590431
16,板橋区,35.760125,139.67417
17,江戸川区,35.68223300000001,139.884191
18,新宿区,35.688549,139.72603700000002
19,中央区,35.679924,139.78600500000002
20,中野区,35.72535300000001,139.661584
21,文京区,35.705198,139.765922
22,中央区,35.668867,139.78335
23,大田区,35.577538,139.724678
24,江戸川区,35.741545,139.896192
25,豊島区,35.73796,139.68379
26,台東区,35.704838,139.778737
27,足立区,35.77093,139.82606299999998
28,江戸川区,35.6839,139.86696899999998
29,渋谷区,35.665506,139.68158799999998
30,豊島区,35.71537100000001,139.708283
31,江戸川区,35.65649099999999,139.866167
32,葛飾区,35.73631599999999,139.86993
33,世田谷区,35.614832,139.650836
34,新宿区,35.683849,139.717044
35,葛飾区,35.759915,139.849936
36,練馬区,35.742075,139.591433
37,荒川区,35.733545,139.791091
38,豊島区,35.727961,139.682395
39,葛飾区,35.775069,139.858032
40,文京区,35.709312,139.741945
41,墨田区,35.706418,139.800941
42,大田区,35.576689,139.69718500000002
43,大田区,35.576689,139.69718500000002
44,練馬区,35.743701,139.570439
45,台東区,35.725853,139.798589
46,墨田区,35.714639,139.823446
47,渋谷区,35.66209,139.697425
48,練馬区,35.73611,139.668919
49,新宿区,35.684529,139.689179
50,世田谷区,35.65531400000001,139.605369
51,練馬区,35.734074,139.675112
52,台東区,35.717903,139.80051799999998
53,世田谷区,35.634751,139.652769
54,目黒区,35.609318,139.677707
55,江東区,35.699212,139.829033
56,中央区,35.672801,139.77414199999998
57,中央区,35.69155,139.783599
58,文京区,35.732444,139.756332
59,大田区,35.572757,139.722489
60,世田谷区,35.647658,139.599324
61,品川区,35.61219600000001,139.70408799999998
62,大田区,35.563007,139.712494
63,足立区,35.764004,139.82644399999998
64,大田区,35.59462100000001,139.68326000000002
65,中野区,35.68365900000001,139.671271
66,荒川区,35.735165,139.774363
67,北区,35.758124,139.74428600000002
68,港区,35.660852,139.716026
69,豊島区,35.7342,139.724058
70,中野区,35.729081,139.674194
71,江戸川区,35.704769,139.886851
72,葛飾区,35.778745,139.878248
73,江東区,35.682879,139.83308300000002
74,文京区,35.71354,139.758088
75,足立区,35.779603,139.794499
76,台東区,35.725192,139.771219
77,板橋区,35.781141,139.69935900000002
78,中野区,35.702893,139.663333
79,杉並区,35.707654,139.63736200000002
80,世田谷区,35.63691400000001,139.638228
81,北区,35.74328900000001,139.735101
82,板橋区,35.778714,139.63858000000002
83,世田谷区,35.650359,139.651897
84,渋谷区,35.649659,139.713048
85,江東区,35.67058,139.804051
86,豊島区,35.735373,139.712803
87,墨田区,35.713604,139.814459
88,荒川区,35.747467,139.767758
89,杉並区,35.708048,139.624953
90,北区,35.758124,139.74428600000002
91,品川区,35.610093,139.737231
92,墨田区,35.704398,139.817546
93,江戸川区,35.724378,139.880232
94,中野区,35.684085,139.665797
95,中野区,35.681907,139.662141
96,墨田区,35.723057,139.828893
97,千代田区,35.698802,139.755267
98,江東区,35.690635,139.846063
99,杉並区,35.69296,139.621781
100,台東区,35.722279,139.764595
101,足立区,35.792872,139.813541
102,港区,35.657685,139.721105
103,台東区,35.7211,139.797317
104,葛飾区,35.73125800000001,139.870203
